Year,Month,BAJFINANCE.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS,SBIN.NS,TATAMOTORS.NS,TCS.NS,RELIANCE.NS_Return,TCS.NS_Return,HDFCBANK.NS_Return,INFY.NS_Return,ICICIBANK.NS_Return,BAJFINANCE.NS_Return,HINDUNILVR.NS_Return,ITC.NS_Return,TATAMOTORS.NS_Return,SBIN.NS_Return
2017,February,1083.1771240234375,653.1002807617188,770.7031860351562,237.37203979492188,408.0992431640625,203.4142608642578,268.19134521484375,251.112060546875,453.9300842285156,1054.474365234375,0.18450982871157495,0.1060407472738556,0.0804026138316114,0.09024337628400758,0.027514407342212666,0.06876252862545895,0.012274727966019139,0.015885231651309173,-0.12759051881638284,0.03399270300053581
2017,March,1144.6568603515625,677.7425537109375,811.512451171875,237.80149841308594,412.06982421875,217.4562225341797,286.1387023925781,273.6860046386719,462.973876953125,1039.744873046875,0.06691997149780149,-0.013968563554625724,0.03773122394079853,0.009729449689499292,0.0018092215853859894,0.056758710061896256,0.05295068954711346,0.06903135311290853,0.01992331647279988,0.08989589764280947
2017,April,1247.3837890625,726.58056640625,832.1619262695312,239.2187957763672,370.4294738769531,215.67189025878906,302.2338562011719,270.28125,456.0668029785156,971.9122314453125,0.05624948206590874,-0.06523969808361285,0.07205982924917875,-0.10105168564755618,0.005960001819749872,0.08974473684575357,0.025445666382366783,-0.008205478116912301,-0.01491892808308215,-0.012440368089581044
2017,May,1296.9879150390625,768.7235717773438,949.6945190429688,280.4056396484375,393.8496398925781,241.89385986328125,290.42779541015625,271.3607177734375,473.2102966308594,1088.82861328125,-0.03906266802603786,0.12029520573279884,0.058001833959773874,0.06322435893263867,0.1721722732463451,0.039766530887693774,0.1412376474616186,0.12158269477319417,0.03758987398420954,0.0039938685108105165
2017,June,1342.0958251953125,781.3277587890625,969.539306640625,276.3027648925781,382.9013977050781,254.87991333007812,298.9411926269531,257.5715026855469,429.87945556640625,1021.34326171875,0.029313300418693844,-0.061979774171372015,0.016396254095053964,-0.0277980251308243,-0.014631926665253259,0.03477897491041104,0.020895969387771496,0.05368492393373114,-0.0915678322575777,-0.05081507449211353
2017,July,1668.940673828125,843.9219970703125,1037.9261474609375,288.15863037109375,413.8634033203125,224.6392364501953,355.4986267089844,294.13885498046875,441.8550720214844,1080.345458984375,0.18919250834932244,0.05776921381586653,0.08011265128767642,0.08086156331840355,0.04290896431356739,0.243533168419809,0.07053539794819397,-0.118646763822146,0.027858080445596345,0.14196971292885885
2017,August,1746.16015625,840.1619873046875,1095.401611328125,283.82568359375,374.47021484375,222.27676391601562,350.942626953125,261.43060302734375,374.2252197265625,1082.3187255859375,-0.012815801281811923,0.0018265144590117188,-0.004455399644372249,-0.09518403454019309,-0.01503667189063096,0.046268560430463346,0.0553752923633235,-0.010516740403466729,-0.15305890229010088,-0.11120003834684433
2017,September,1801.183837890625,853.9956665039062,1054.225830078125,263.3994140625,368.31060791015625,203.41567993164062,343.7454833984375,238.9348907470703,399.02117919921875,1056.1312255859375,-0.020508034652766183,-0.02419573770732164,0.01646549047475765,-0.01644885678334629,-0.07196765730506216,0.031511245657324105,-0.03758966649690809,-0.08485405155305126,0.06625945597887295,-0.08604850396156771
2017,October,1764.4849853515625,855.3199462890625,1111.2967529296875,285.7778625488281,382.56201171875,209.24331665039062,414.15411376953125,287.8325500488281,425.755126953125,1140.7593994140625,0.20482779780842297,0.08013035859362416,0.001550686774064891,0.038693981391027865,0.084960130097397,-0.020374851121271798,0.05413538657778205,0.028648906125174012,0.06699881897887638,0.20464846782682522
2017,November,1692.410400390625,876.6968994140625,1150.1646728515625,292.8723449707031,405.07550048828125,201.6437530517578,405.6584167480469,301.5276184082031,401.6548156738281,1146.4110107421875,-0.020513371083432208,0.004954253570935263,0.024992931847020783,0.05884925340177949,0.024825164407767275,-0.04084737788039439,0.034975284341836055,-0.03631926562954635,-0.056606038902616174,0.04757998481079273
2017,December,1721.4654541015625,885.541015625,1236.396728515625,299.0144958496094,432.4443054199219,207.3138885498047,405.4382629394531,291.6916198730469,429.1838073730469,1174.3209228515625,-0.0005427073604403754,0.02434546759220857,0.01008799759283785,0.06756470065123676,0.020972109468105238,0.01716785343804994,0.07497366046747933,0.02811956935056381,0.06853893100481145,-0.03262055591153323
2018,January,1644.1968994140625,948.58447265625,1237.752197265625,336.1056213378906,477.34649658203125,213.73216247558594,423.1559753417969,294.84478759765625,397.0335388183594,1356.273193359375,0.04370014875727124,0.15494254336028024,0.07119202376725031,0.10383346618128653,0.12404457309968131,-0.04488533563273078,0.0010963056749813127,0.03095920862166124,-0.07491025523882933,0.010809935938446591
2018,February,1607.3511962890625,891.121826171875,1191.111328125,298.3003234863281,486.6216735839844,208.73143005371094,420.1847229003906,252.2534942626953,367.61627197265625,1322.587890625,-0.0070216483153907605,-0.024836664839581024,-0.060577258157585745,0.019430700902523856,-0.11248040928644998,-0.02240954422072594,-0.037681911810507396,-0.02339719190576295,-0.07409264953599137,-0.14445326872483433
2018,March,1732.0977783203125,892.0203247070312,1205.2119140625,265.0658874511719,469.6899108886719,201.21063232421875,388.55694580078125,235.2169647216797,324.83209228515625,1241.577880859375,-0.07527112571179106,-0.061251135247686994,0.0010082780028137783,-0.03479451001557232,-0.11141267178907188,0.07761003464535698,0.011838176335453587,-0.03603097879201489,-0.1163827146658033,-0.06753733814792628
